drive name,time,left_enc,right_enc,euler_x,euler_y,euler_z,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
sample_drive_3,2020-05-31 00:28:44.299841,428,-424,123.625,-0.75,86.5,0.6875,-24.0625,-20.6875,-0.79,10.32,-0.42,8.0625,-79.0,-1.8125
sample_drive_3,2020-05-31 00:28:46.316622,491,-489,153.625,0.875,87.1875,-13.5625,-23.5,-15.5625,0.42,9.16,0.22,0.0625,76.125,-2.3125
sample_drive_3,2020-05-31 00:28:48.332940,375,-376,114.5,0.6875,88.25,-1.75,-24.6875,-20.1875,0.5,9.51,-0.03,3.6875,106.1875,4.6875
sample_drive_3,2020-05-31 00:28:50.351389,251,-249,62.4375,1.0,88.1875,16.0,-25.5625,-13.5625,0.67,9.21,0.23,-0.0625,0.125,0.25
sample_drive_3,2020-05-31 00:28:52.366796,-9,10,315.375,1.875,88.1875,3.75,-26.5,17.25,0.14,9.37,0.15,0.0,-0.125,0.0
sample_drive_3,2020-05-31 00:28:54.382321,-9,10,315.9375,1.3125,88.6875,3.75,-27.25,16.875,0.11,9.39,0.13,0.125,0.0,-0.0625
sample_drive_3,2020-05-31 00:28:56.398868,-9,10,315.9375,1.3125,88.6875,5.25,-26.875,16.875,0.12,9.37,0.11,0.0,0.0,0.125
sample_drive_3,2020-05-31 00:28:58.417246,-9,10,315.9375,1.3125,88.6875,4.1875,-26.5,17.25,0.13,9.35,0.15,-0.3125,-0.3125,0.0
sample_drive_3,2020-05-31 00:29:00.433223,-9,10,315.9375,1.3125,88.6875,4.5,-27.25,16.875,0.13,9.37,0.15,-0.0625,0.0625,0.0
sample_drive_3,2020-05-31 00:29:02.451102,-9,10,315.9375,1.3125,88.6875,4.1875,-27.25,16.5,0.13,9.37,0.11,-0.0625,0.125,0.0
sample_drive_3,2020-05-31 00:29:04.467606,-9,10,315.9375,1.3125,88.6875,4.1875,-27.5625,17.25,0.12,9.38,0.16,0.0,-0.25,0.0625
sample_drive_3,2020-05-31 08:10:46.491890,0,0,3.875,0.3125,92.125,-7.875,-8.75,23.875,0.11,9.62,-0.37,0.0,0.125,0.0625
sample_drive_3,2020-05-31 08:10:48.507623,9,-9,7.75,0.3125,92.3125,-4.6875,-5.6875,13.75,0.08,9.62,-0.39,0.0625,0.125,0.0625
sample_drive_3,2020-05-31 08:10:50.522233,9,-9,7.75,0.3125,92.3125,-3.25,-5.0625,15.25,0.09,9.61,-0.38,0.0,0.0,0.0625
